"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Break out of the Cabin Fever with a local shopping trip. It looks like some sun and temps in the mid-40s for tomorr… https://t.co/ChRtPEZ7x4",FALSE,0,NA,2019-03-08 21:12:00,TRUE,NA,"1104127650946199552",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","stnicksalliance",0,FALSE,FALSE,NA,NA
"2","Y’all got baby fever, I got house fever 🤒.. We are not the same",FALSE,0,NA,2019-03-08 21:11:20,FALSE,NA,"1104127485858537475",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Noop_TheGreat",0,FALSE,FALSE,NA,NA
"3","The 813hp #McLaren Senna GTR is a track day fever-dream https://t.co/YGskvrYvxj #archive",FALSE,0,NA,2019-03-08 21:11:18,FALSE,NA,"1104127475016183811",NA,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","ZonaBinaria",0,FALSE,FALSE,NA,NA
"4","Woke up with fever so what better way to cure it then spending the entire day watching episodes of The Office while… https://t.co/juBA06kR1s",FALSE,0,NA,2019-03-08 21:10:41,TRUE,NA,"1104127322297458688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","notalexisgomez",0,FALSE,FALSE,NA,NA
"5","Having a fever is so weird cuz like one minute you need 1000 blankets on and then next you’re literally sweating bu… https://t.co/2aWMpkGDYB",FALSE,0,NA,2019-03-08 21:10:20,TRUE,NA,"1104127234246348802",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","0livia_vickers",0,FALSE,FALSE,NA,NA
"6","@juliesu74284807 @steve_shorty @foootsoldier @PaulReadGB @somersetlevel @caz_foster Friday night fever! https://t.co/LIK1ETDCoz",FALSE,1,"juliesu74284807",2019-03-08 21:10:11,FALSE,"1104126455007666177","1104127195025268736","1062459324977569793","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","FlavellG",0,FALSE,FALSE,NA,NA
"7","I may be a little old school but I still have the fever!  3 for 333 @fever333 https://t.co/p3awlxofep",FALSE,0,NA,2019-03-08 21:09:37,FALSE,NA,"1104127050598703104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","die2board",0,FALSE,FALSE,NA,NA
"8","@Mattyhav1 @GreenLantern4 @benshapiro The idea that Christian persecution exists in anything resembling the same se… https://t.co/voL9NOY7t0",FALSE,0,"Mattyhav1",2019-03-08 21:09:09,TRUE,"1104124573837131776","1104126935284629505","1104123672967761928","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","iceblademan",0,FALSE,FALSE,NA,NA
"9","@forrinwolf And ""Saturday Night Fever"" (1977) was my favorite film. I was 13 years old in 1977. :P",FALSE,0,"forrinwolf",2019-03-08 21:08:10,FALSE,"1104123973426532353","1104126686960992257","770491173785989120","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BradHound",0,FALSE,FALSE,NA,NA
"10","OC! we’ll see you tonight at @ObservatoryOC for our show with @armorsmusic + Fever Joy. doors open at 8! #ufoufo… https://t.co/RzPxOVCWiV",FALSE,3,NA,2019-03-08 21:08:03,TRUE,NA,"1104126659517509633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ufoufoband",1,FALSE,FALSE,NA,NA
